filename,size_bytes,size_mb,title,title_language,title_confidence,metadata_language_hint,candidate_rank
Chapter 5 - Danu Purwito.pptx,1633014,1.56,"PERTEMUAN 4_APRIL 17, 2024_PASAR FUTURES DAN OPTIONS_MANAJEMEN KEUANGAN INTERNASIONAL_PASCA SARJANA MM_UWP SURABAYA",INDONESIAN,0.9901,indonesian,11
Chapter 5 -6.pptx,5451402,5.2,"PERTEMUAN 4_APRIL 17, 2024_PASAR FUTURES DAN OPTIONS_MANAJEMEN KEUANGAN INTERNASIONAL_PASCA SARJANA MM_UWP SURABAYA",INDONESIAN,0.9901,indonesian,12
Chapter 6_234961087_Mustofa.pptx,4476350,4.27,"PERTEMUAN 4_APRIL 17, 2024_PASAR FUTURES DAN OPTIONS_MANAJEMEN KEUANGAN INTERNASIONAL_PASCA SARJANA MM_UWP SURABAYA",INDONESIAN,0.9901,indonesian,13
Future Currency and Options (Dimas Tri Laksono_MM50B).pptx,780980,0.74,"PERTEMUAN 4_APRIL 17, 2024_PASAR FUTURES DAN OPTIONS_MANAJEMEN KEUANGAN INTERNASIONAL_PASCA SARJANA MM_UWP SURABAYA",INDONESIAN,0.9901,indonesian,14
CHAPTER 1 _234961034_ AZIZ BAHAUDIN.pptx,6675430,6.37,PERTEMUAN 2_27 SEPTEMBER 2023_Environment of Internasional Finansial Management_MANAJEMEN KEUANGAN INTERNASIONAL_PASCA MM_UWP JAM 18.00-22.00,INDONESIAN,0.9846,indonesian,15
CONTOH KASUS.pptx,990946,0.95,PERTEMUAN 12_ 16 MEI 2023_SEGMEN OPERASI_AKUNTANSI KEUANGAN LANJUTAN 2_UNIVERSITAS GRESIK_JAM 18.00-20.00,INDONESIAN,0.9841,indonesian,16
2. Risk and Return.pptx,4431503,4.23,PERTEMUAN 3_21 SEPTEMBER 2023_RESIKO DAN RETURN DARI INVESTASI_MANAJEMEN INVESTASI &PORTOFOLIO_UNIVERSITAS GRESIK JAM 18.00-20.00,INDONESIAN,0.9825,indonesian,17
3_Bond_Valuation_and Yield.pptx,4593344,4.38,PERTEMUAN 4_05 OCTOBER 2023_OBLIGAS9 PENLAIAN & HASIL_MANAJEMEN INVESTASI PORTOFOLIO_UNIVERSITAS GRESIK_JAM 20.00-22.00,INDONESIAN,0.9767,indonesian,18
1-Pendahuluan Investasi 2021.pptx,2884775,2.75,"PERTEMUAN 2, 03 OCTOBER 2024 DEFINISI INVESTASI_MANAJEMEN INVESTASI PORTOFOLIO_UNIVERSITAS GRESIK_JAM 18.30-20.00",INDONESIAN,0.9754,indonesian,19
Maulin_2022_Evaluasi Layanan Informasi Publik Pemalang.pptx,6687766,6.38,Evaluasi Pelayanan Informasi Publik Kabupaten Pemalang,INDONESIAN,0.9734,indonesian,20
PERTEMUAN 11-09 MEI_2023.pptx,1151527,1.1,PERTEMUAN 11_09 MEI 2023_AKUNTANSI SEWA_AKUNTANSI KEUANGAN MENENGAH 2_UNIVERSITAS GRESIK JAM_20.00-21.30,INDONESIAN,0.9726,indonesian,21
"materi-1-pengertian-investasi_june, 10, 2022.pptx",1838771,1.75,"MANAJEMEN INVESTASI PENGERTIAN, TUJUAN DAN JENIS INVESTASI",INDONESIAN,0.9671,indonesian,22
Pertemuan 10_28 November 2022.pptx,8066356,7.69,PERTEMUAN 10 _28 NOVEMBER 2022_PENYUSUNAN ANGGARAN_SISTEM PENGENDALIAN MANAJEMEN_STIESIA SURABAYA_JAM 6.30.9.00,INDONESIAN,0.966,indonesian,23
Workshop STISIP IB.pptx,8323967,7.94,Manajemen Pengelolaan E- Jurnal,INDONESIAN,0.9646,indonesian,24
Materi Teori dan Praktik Penyusunan Proposal Pengabdidan dan Pemberdayaan Masyarakat.pptx,1301287,1.24,Teknik Penyusunan Proposal Pengabdian dan Pemberdayaan Masyarakat (Hibah CSR/PEMDA/NGO),INDONESIAN,0.9622,indonesian,25
PERTEMUAN 3_27 MARET 2023.pptx,1187936,1.13,PERTEMUAN KE 2_27 MARET 2023_MASALAH DAN VARIABEL PENELITIAN INDIKATOR PEMBELAJARAN_STIESIA SURABAYA_JAM 12.00-14.30,INDONESIAN,0.9609,indonesian,26
"ppt kel 3 bisnis internasional(Arrum,Pelia).pptx",624560,0.6,KEBIJAKAN PERDAGANGAN INTERNASIONAL SERTA TEORI DAN KEBIJAKAN KEUANGAN/PEMBAYARAN INTERNASIONAL,INDONESIAN,0.9537,indonesian,27
kel 2 bisnis internasional-2-1.pptx,181139,0.17,PERDAGANGAN INTERNASIONAL DAN KEBIJAKAN KEUANGAN/PEMBAYARAN INTERNASIONAL,INDONESIAN,0.9521,indonesian,28
Eko_Webinar_RJI-UMKO.pptx,2666801,2.54,PENDAMPINGAN OPEN JURNAL SYSTEM (OJS) PERGURUAN TINGGI DI LINGKUNGAN LEMBAGA LAYANAN PENDIDIKAN TINGGI WILAYAH II di Univ. Muhammadiyah Kotabumi,INDONESIAN,0.9355,indonesian,29
Akreditasi Jurnal Nasional - Arjuna.pptx,7034153,6.71,Penjagaan Mutu dan Kiat Peningkatan Manajemen Jurnal,INDONESIAN,0.9334,indonesian,30
RJI Selasa 16 Juni 2020 Part 1.pptx,3790825,3.62,Manajemen Penerbitan dalam Jurnal Ilmiah part 1,INDONESIAN,0.9322,indonesian,31
RJI Selasa 16 Juni 2020 Part 2.pptx,6719531,6.41,Manajemen Penerbitan dalam Jurnal Ilmiah part 2,INDONESIAN,0.9322,indonesian,32
Eko_Webinar_RJI-UNBARA.pptx,2666706,2.54,PENDAMPINGAN OPEN JURNAL SYSTEM (OJS) PERGURUAN TINGGI DI LINGKUNGAN LEMBAGA LAYANAN PENDIDIKAN TINGGI WILAYAH II di Universitas Baturaja,INDONESIAN,0.9315,indonesian,33
Pertemuan_3_Ak BIAYA_07_Oct_2024.pptx,804784,0.77,PERTEMUAN KE 3_ PERILAKU BIAYA _AKUNTANSI BIAYA_UNIVERSITAS GRESIK_2024,INDONESIAN,0.9266,indonesian,34
PERTEMUAN 2_8 MARET 2023.pptx,529836,0.51,PERTEMUAN 2 _8 MARET 2023 METODE PENELITIAN KUALITATIF_MATA KULIAH METODOLOGI PENELITIAN PENELITIAN_UNIVERSITAS WIJAYA PUTRA PRIGEN_JAM 18.00-20.00,INDONESIAN,0.9251,indonesian,35
Indrya.pptx,6624797,6.32,RISET KOLABORASI & TANTANGAN ASOSIASI JURNAL,INDONESIAN,0.9049,indonesian,36
2. Risk and Return.pptx,4431111,4.23,PERTEMUAN 3_10 OCTOBER 2024_MANAJEMEN INVESTASI DAN PORTOFOLIO_UNIGRES_18.30-20.30,INDONESIAN,0.904,indonesian,37
PERTEMUAN 4_30 MARET 2023.pptx,17768278,16.95,PERTEMUAN 4_31 MARET 2023_METODOLOGI PENELITIAN_PENELITIAN KUALITATIF_UNIVERSITAS WIJAYA PUTRA_JAM 18.00-21.30,INDONESIAN,0.9007,indonesian,38
5 Bahan Tayang Sidang.pptx,5958927,5.68,Studi Profitabilitas BUMN di Indonesia Tahun 2012 – 2016 dengan Pendekatan Analisis Regresi Panel,INDONESIAN,0.8984,indonesian,39
Template_RJI_PPT - Oman_fix.pptx,7959935,7.59,Strategi Mengelola Jurnal sampai Terakreditasi,INDONESIAN,0.8871,indonesian,40
PRO_PERTEMUAN 3_19-20 FEBRUARY 2024.pptx,1843648,1.76,"PERTEMUAN 03_FEBRUARY, 19-20, 2024_FENOMINA/ MASALAH & VARIABLE PENELITIAN_METODOLOGI PENELITIAN_UNIVERSITAS GRESIK",INDONESIAN,0.8867,indonesian,41
Tata kelola jurnal menuju akreditasi  SINTA 2 revisi final 28 -8-2019.pptx,2816631,2.69,Tata Kelola Jurnal menuju Akreditasi Nasional,INDONESIAN,0.8865,indonesian,42
liensi PSPI.pptx,3532188,3.37,Gambaran Penerapan Hak Cipta dan Lisensi dikalangan Pengelola Jurnal di Indonesia versi salindia,INDONESIAN,0.886,indonesian,43
PPT UJIAN SKIRPSI CINDI FATIKASARI.pptx,17482945,16.67,POLA INTERAKSI AIR TANAH DAN AIR PERMUKAAN SUNGAI BEJI DI WILAYAH KABUPATEN MALANG,INDONESIAN,0.8822,indonesian,44
STRATEGI PENGELOLAAN JURNAL TERAKREDITASI - Copy.pptx,12191184,11.63,STRATEGI PENGELOLAAN JURNAL TERAKREDITASI,INDONESIAN,0.8797,indonesian,45
PERTEMUAN 1_20 SEPT RPS & Kontrak Kuliah MKI_UWP.pptx,5497486,5.24,"PERTEMUAN 1_20 SEPTEMBER 2023_PENJELASAN RPS, KONTRAK KULIAH_Multinational Financial Management_PASCA MM UWP SURABAYA_JAM 18.00-22.00",INDONESIAN,0.8754,indonesian,46
PPT KELOMPOK 11 (PEMASARAN INTERNASIONAL).pptx,2729124,2.6,PEMASARAN INTERNASIONAL DALAM BISNIS INTERNASIONAL,INDONESIAN,0.8736,indonesian,47
New_Pertemuan 1_Ak Biaya_23 Sept 2024.pptx,3074604,2.93,"Pertemuan Pertama Penjelasan RPS, RPP dan Kontrak Kuliah Akuntansi Biaya 5 September 2022",INDONESIAN,0.8686,indonesian,48
PPT KELOMPOK 7 (VALUTA ASING DAN PASAR KEUANGAN INTERNASIONAL) AULIA SAFIRA PUTRI & RINI ARIANI.pptx,260991,0.25,VALUTA ASING DAN PASAR KEUANGAN INTERNASIONAL,INDONESIAN,0.8669,indonesian,49
Penelitian Kuantitatif_UNESA_kamis 26 January 2023.pptx,4140815,3.95,MATERI SEMINAR METODE PENELITIAN KUANTITATIF_UNIVERSITAS NEGERI SURABAYA_ KAMIS 26 JANUARY 2023,INDONESIAN,0.8667,indonesian,50
Pertemuan_3_AKL1_19_Sept_2023.pptx,1971176,1.88,'PERTEMUAN 3_08 October 2024_Akuntansi Untuk Pendirian Firma_Universitas Gresik_Jam 18.00-20.00,INDONESIAN,0.8631,indonesian,51
Presentasi Sidang.pptx,10074686,9.61,Ketahanan Ekonomi Rumah Tangga Pertanian di Wilayah Terkena Erupsi Merapi 2010 Melalui Indeks Standar Hidup yang Disesuaikan (Studi Kasus Tahun 2012),INDONESIAN,0.8628,indonesian,52
PPT Webinar_Yulia Maftuhah.pptx,2381346,2.27,BERPIKIR KOMBINATORIS DALAM MENYELESAIKAN MASALAH KOMBINATORIK,INDONESIAN,0.8494,indonesian,53
PBAK HKI ok.pptx,1829681,1.74,Prodi Hukum Keluarga Islam UIN Prof. K.H. Saifuddin Zuhri Purwokerto,INDONESIAN,0.8471,indonesian,54
KELOMPOK 8 BISNIS INTERNASIONAL.pptx,1041092,0.99,Manajemen strategis internasional,INDONESIAN,0.8445,indonesian,55
TRIK MENULIS PROPOSAL SKRIPSI: TESIS.pptx,7112419,6.78,TRIK MENULIS PROPOSAL SKRIPSI/ PROPOSAL DENGAN CEPAT DAN BERKUALITAS,INDONESIAN,0.8398,indonesian,56
Memilih jurnal tujuan Merger_H-indeks.pptx,6498002,6.2,Memilih Jurnal Bereputasi Scopus dan Untuk meningkatkan H-Index Scopus 29-30 September 2022 Hotel IBIS Jemursari Surabaya,INDONESIAN,0.8323,indonesian,57
PENULISAN KARYA ILMIAH PASCA UWP.pptx,1642070,1.57,PENULISAN KARYA ILMIAH YANG BAIK DAN BERKUALITAS DENGAN MENDELEY_PASCA UWP SURABAYA,INDONESIAN,0.8306,indonesian,58
musamus  FISIP dan RJI .pptx,807267,0.77,Mempersiapkan artikel Publikasi ilmiah Mahasiswa,INDONESIAN,0.8305,indonesian,59
11. PRESENTASI WEBINAR.pptx,488030,0.47,Kemampuan Berpikir Kritis,INDONESIAN,0.8263,indonesian,60
PERTEMUAN KE 3 30 MARET 2023.pptx,2700785,2.58,PERTEMUAN KE 3_30 MARET 2023 PASAR MODAL (CAPITAL MARKET) PASCA SARJANA MM UNIVERSITAS WIJAYA PUTRA,INDONESIAN,0.8224,indonesian,61
KELOMPOK 8 BISNIS INTERNASIONAL.pptx,1007125,0.96,MANAJEMEN STRATEGI INTERNASIONAL,INDONESIAN,0.8172,indonesian,62
Manajemen Strategis Internasional.pptx,1280091,1.22,MANAJEMEN STRATEGI INTERNASIONAL,INDONESIAN,0.8172,indonesian,63
manajemen strategis internasional (1) (1).pptx,704348,0.67,MANAJEMEN STRATEGI INTERNASIONAL,INDONESIAN,0.8172,indonesian,64
manajemen strategis internasional.pptx,1281283,1.22,Manajemen Strategi Internasional,INDONESIAN,0.8172,indonesian,65
APA ITU SOSIALISME.pptx,19628820,18.72,Perbedaan Ekonomi Syariah dan Ekonomi Sosialisme,INDONESIAN,0.8111,indonesian,66
1.1. PRAAKSARA.pptx,4791384,4.57,Perkembangan Manusia Praaksara Ditinjau dari Temuan Fosil dan Artefak,INDONESIAN,0.807,indonesian,67
Pertemuan 7_31 October_2022.pptx,2764767,2.64,PERTEMUAN 7_31 OCKTOBER 2022_Mengukur dan Mengendalikan Aset yang Dikelola_SPM_STIESIA SURABAYA_JAM 6.30-9.00,INDONESIAN,0.7956,indonesian,68
Pertemuan_3_AKL1_19_Sept_2022.pptx,1966210,1.88,BAB 2 Akuntansi Untuk Pendirian Firma Pertemuan 3 19 September 2022,INDONESIAN,0.7917,indonesian,69
PERTEMUAN 5_26 JANUARY_2023.pptx,9799559,9.35,PERTEMUAN 5_26 JANUARY 2023_PTKP DAN PPh TERUTANG_UNIVERSITAS WIJAYA PUTRA_PRIGEN,INDONESIAN,0.791,indonesian,70
Tata Cara Sitasi Dan Penulisan Daftar Pustaka.pptx,2878232,2.74,Sitasi dan Daftar Pustaka sebagai Bentuk Pelengkapan Akreditasi,INDONESIAN,0.7897,indonesian,71
RJI_PPT_Mendeley-Eko Sumartono.pptx,3604536,3.44,"Workshop ""Mahir dalam Mengelola Referensi Mendeley untuk Tugas Akhir""",INDONESIAN,0.7832,indonesian,72
20200615-webinar-PSLH.pptx,1295542,1.24,Webinar PSLH ITB Pengelolaan air tanah berkelanjutan,INDONESIAN,0.783,indonesian,73
BAB 12 TEGANGAN PERMUKAAN .pptx,131859,0.13,Fisika Terapan - TEGANGAN PERMUKAAN DAN KAPILARITAS,INDONESIAN,0.7826,indonesian,74
WEBINAR RJI KALBAR SERI 1 (Anyan).pptx,4156642,3.96,Seluk Beluk Persiapan Akreditasi Jurnal Nasional,INDONESIAN,0.7825,indonesian,75
Materi MUBES ke-4 UKM Fotografi Potret.pptx,10278714,9.8,Materi Mubes Unit Kegiatan Mahasiswa (UKM) Fotografi Potret STAIN MADINA,INDONESIAN,0.7822,indonesian,76
Pengajuan Akreditasi Jurnal di Arjuna.pptx,1150738,1.1,Pengajuan Akreditasi Jurnal di Arjuna,INDONESIAN,0.7811,indonesian,77
Diseminasi.pptx,806654,0.77,PROFIL DISPOSISI BERPIKIR KRITIS SISWA SKEPTIS TERHADAP ILL-LOGICAL MATHEMATICS PROBLEM,INDONESIAN,0.7779,indonesian,78
power poit karin dan dewi (1) (1).pptx,1069150,1.02,SEGMENTASI PASAR BISNIS INTERNASIONAL,INDONESIAN,0.7671,indonesian,79
Teknik_Pengelolaan_E_Jurnal_Menggunakan.pptx,926667,0.88,Pengelolaan Jurnal dengan OJS 3,INDONESIAN,0.764,indonesian,80
kel 1 bisnis internasional.pptx,920457,0.88,Makalah Strategi Bisnis Internasional,INDONESIAN,0.7616,indonesian,81
Pertemuan_2_AKL1_12_Sept_2022.pptx,1280591,1.22,Pertemuan 2 AKL1 KOMBINASI BISNIS,INDONESIAN,0.7591,indonesian,82
Pengantar Ilmu Jurnalistik untuk Mahasiswa.pptx,204012,0.19,Pengantar Ilmu Jurnalistik untuk Mahasiswa,INDONESIAN,0.7586,indonesian,83
"Slow CV, RPS, RPP dan Kontrak KUliah Perpajakan.pptx",1096638,1.05,"Pertemuan 1 Perpajakan 30 September 2022 Penjelasan RPS, RPP dan Kontrak Kuliah",INDONESIAN,0.7537,indonesian,84
Pengantar Jurnal.pptx,1379686,1.32,Mengelola Jurnal Ilmiah itu Mudah,INDONESIAN,0.7512,indonesian,85
Mengenal Mendeley.pptx,5647117,5.39,Mengenal Mendeley Mahasiswa s2 PBA Pascasarjana UIN Antasari Banjarmasin,INDONESIAN,0.7475,indonesian,86
SYARIFUDDIN_MATERI DISEMINASI HASIL PENELITIAN DISERTASI.pptx,995037,0.95,PROSES PENALARAN KUANTITATIF SISWA DALAM PEMECAHAN MASALAH KOVARIASI DITINJAU DARI APOS,INDONESIAN,0.7305,indonesian,87
1.2. Penyebaran Agama Hindu Buddha 2.pptx,5640635,5.38,Persebaran Ajaran SiwaBudha yang Sering Dikenal sebagai Hindu Budha di Indonesia,INDONESIAN,0.7246,indonesian,88
MSP4011_Modul_2_Slides-Travel-Cost-Method.pptx,487484,0.46,Modul kuliah MSP 4011 Valuasi Sumberdaya Perairan,INDONESIAN,0.7222,indonesian,89
Akreditasi-Isu dan problematika Umum.pptx,1956997,1.87,Reject bighairi Hisab: Penolakan Pengusulan akreditasi tanpa dinilai,INDONESIAN,0.7158,indonesian,90
DOI dan Indexing.pptx,2334960,2.23,Pengelolaan DOI dan Indeksasi Jurnal,INDONESIAN,0.7147,indonesian,91
Interaksi Verbal.pptx,283456,0.27,Interaksi Verbal Siswa dalam Menyelesaikan Masalah Geometri melalui Aktivitas Kognitif,INDONESIAN,0.7146,indonesian,92
MSP_4011_Modul-1_Slides_1-Pasar-Based-Technique.pptx,216572,0.21,Modul MSP 4011: VALUASI SUMBERDAYA PERAIRAN,INDONESIAN,0.7113,indonesian,93
konsep KB kespro.pptx,1028254,0.98,Materi Kespro Pertemuan Pertama,INDONESIAN,0.6923,indonesian,94
bagaimana menulis paper jurnal ilmiah yang disukai editor dan reviewer_M. Zaini Miftah.pptx,7232385,6.9,Bagaimana Menulis Paper Jurnal Ilmiah yang Disukai Editor dan Reviewer,INDONESIAN,0.6893,indonesian,95
Pemilihan Supplier menggunakan AHP (quesioner).pptx,1435692,1.37,Pemilihan Supplier Menggunakan AHP,INDONESIAN,0.689,indonesian,96
ZOTERO-MENDELEY- 2019.pptx,3086621,2.94,Manajemen Referensi Menggunakan Zotero dan Mendeley,INDONESIAN,0.6885,indonesian,97
Karya Ilmiah Berbasis Vokasi.pptx,18314588,17.47,KARYA ILMIAH BERBASIS VOKASI,INDONESIAN,0.6865,indonesian,98
RJI_karir dosen.pptx,323847,0.31,Perencanaan Karir Dosen,INDONESIAN,0.6865,indonesian,99
2012.03 BPD Sumbar Sistem Manajemen Pasar Desa.pptx,946809,0.9,SISTEM MANAJEMEN PASAR DESA,INDONESIAN,0.6835,indonesian,100
