filename;size_bytes;size_mb;title;title_language;title_confidence;metadata_language_hint;candidate_rank
MARCELA_SEB versao final.pptx;1207220;1.15;Case study: Use of surface electromyography in masseter to investigate the muscular effort and movement features during the naturally chewing and swallowing;ENGLISH;1.0;english;21
20240606_Data_Steward_UW_Kalova.pptx;2858526;2.73;"Certificate Courses, Workshops, Trainings… What Do Data Stewards Need? Insights from the ""Data Steward"" Certificate Program at the University of Vienna";ENGLISH;1.0;english;22
CAA_2023.pptx;15331205;14.62;Chasing social complexity through body ornaments in the recent prehistory of Iberia. Implemantation of an archaeochemical tool for prehistoric data analysis and predictive modelling;ENGLISH;1.0;english;23
Supplementary Figures and Table.pptx;3082394;2.94;Chronic Administration of Exogenous Lactate Increases Energy Expenditure During Exercise Through Activation of Skeletal Muscle Energy Utilization Capacity in Mice;ENGLISH;1.0;english;24
Stall - Data Citation - COPDESS - 27 April 2021.pptx;10165284;9.69;Citation and credit: The role of researchers, journals, and repositories to ensure data, software and samples are linked to publications with proper attribution.;ENGLISH;1.0;english;25
P01_Road-Network_Analysis_Flooded_Summarized_Technical Notes (English) (Hi-Res).pptx;13537408;12.91;Communication - Immediate Actions: Road-Network Accesses Preservation Porto Alegre and its Metropolitan Region Vulnerability Analysis – May 2024 Floodings;ENGLISH;1.0;english;26
correlation.pptx;477203;0.46;Comparative LC-MS proteomics of quinoa grains: evaluation of bioactivity and health benefits by combining in silico techniques with in vitro assays on colorectal adenocarcinoma cells;ENGLISH;1.0;english;27
Inuka Abstract_CAM views among students - Copy.pptx;368177;0.35;Comparative analysis on the views of complementary and alternative medicine among university students in Atlanta, Newcastle upon Tyne, and New Delhi;ENGLISH;1.0;english;28
JSMTorento_03Aug2023.pptx;6973301;6.65;Comparison Between Simultaneous and Sequential Utilization of Safety and Efficacy for Optimal Dose Determination in Bayesian Model‑Assisted Designs;ENGLISH;1.0;english;29
OHEJP Presentation .pptx;3936039;3.75;Comparison of Plasmid-Mediated Quinolone Resistance in Escherichia coli Isolates from Bovine and Swine Origin Recovered from Livestock and Food in Germany;ENGLISH;1.0;english;30
ComplexCitationsOverview-Stall.pptx;9993904;9.53;Complex Citations Are Needed in Wide- Open Science: Ensuring Transparency, Reproducibility, and Credit for All Supporting Research Contributions;ENGLISH;1.0;english;31
1-s2.0-S1096717618302635-SuppFig1.pptx;1491060;1.42;Construction of a fusion enzyme for astaxanthin formation and its characterisation in microbial and plant hosts: A new tool for engineering ketocarotenoids;ENGLISH;1.0;english;32
1-s2.0-S1096717618302635-SuppFig3.pptx;253001;0.24;Construction of a fusion enzyme for astaxanthin formation and its characterisation in microbial and plant hosts: A new tool for engineering ketocarotenoids;ENGLISH;1.0;english;33
1-s2.0-S1096717618302635-SuppFig4.pptx;105495;0.1;Construction of a fusion enzyme for astaxanthin formation and its characterisation in microbial and plant hosts: A new tool for engineering ketocarotenoids;ENGLISH;1.0;english;34
1-s2.0-S1096717618302635-SuppFig6.pptx;1093459;1.04;Construction of a fusion enzyme for astaxanthin formation and its characterisation in microbial and plant hosts: A new tool for engineering ketocarotenoids;ENGLISH;1.0;english;35
1-s2.0-S1096717618302635-SuppFig7.pptx;524837;0.5;Construction of a fusion enzyme for astaxanthin formation and its characterisation in microbial and plant hosts: A new tool for engineering ketocarotenoids;ENGLISH;1.0;english;36
1-s2.0-S1096717618302635-SuppFig8.pptx;1346679;1.28;Construction of a fusion enzyme for astaxanthin formation and its characterisation in microbial and plant hosts: A new tool for engineering ketocarotenoids;ENGLISH;1.0;english;37
1-s2.0-S1096717618302635-SuppFig9.pptx;687639;0.66;Construction of a fusion enzyme for astaxanthin formation and its characterisation in microbial and plant hosts: A new tool for engineering ketocarotenoids;ENGLISH;1.0;english;38
Fig 1D.pptx;2824293;2.69;Double-stranded RNA structural elements holding the key to translational regulation in cancer: the case of editing in RNA Binding Motif Protein 8A;ENGLISH;1.0;english;52
20230511_DCC_PRES_EPP_v004.pptx;2059557;1.96;DCC Spring Training Days 2023 - Session 1: Engagement: connecting researchers and data stewards By Esther Plomp (TU Delft) and Lena Karvovskaya (VU Amsterdam);ENGLISH;1.0;english;40
SRW2022 Domingus en Miedema 20220511 DEF wo ochtend.pptx;10553592;10.06;DCC Spring Training Days 2023 - Session 3: Introduction to Anonymisation and pseudonymisation By Hanne Vlietinck (Hasselt University) and Afshin Amighi (Rotterdam University of Applied Sciences);ENGLISH;1.0;english;41
OHEJP Presentation .pptx;2695364;2.57;DIFFERENT SEQUENCING AND ASSEMBLY APPROACHES INFLUENCING THE DETECTION OF PLASMIDS AND ANTIMICROBIAL RESISTANCE GENES IN COMMENSAL ESCHERICHIA COLI;ENGLISH;1.0;english;42
ENEA_Puglia_tmax_modis_drones_beyond_rev01.pptx;15216182;14.51;Daily cloud-gap-filled maximum canopy temperature at 250 m resolution estimated from MODIS Land Surface Temperature satellite data under project TEBAKA (TErritory BAsic Knowledge Acquisition, ARS01_00815);ENGLISH;1.0;english;43
Figure 1.pptx;142005;0.14;Data from: Malat1 as an evolutionarily conserved lncRNA, plays a positive role in regulating proliferation and maintaining undifferentiated status of early-stage hematopoietic cells;ENGLISH;1.0;english;44
DesignDiscovDualApproach_Dariah_Interfaces_Final.pptx;5195003;4.95;Designing for Discovery: Using a dual approach for Remote Co-design with researchers to optimise a Discovery Interface for Social Science & Humanities.;ENGLISH;1.0;english;45
Business Plan.pptx;457998;0.44;Development of a framework for a business plan to support the implementation of complex interventions (using technology) in case management across diverse healthcare settings;ENGLISH;1.0;english;46
LUcon2024-26-03--v3.pptx;2123921;2.03;Different Approaches to Obtaining Nanoporous Anodic Alumina Membranes with AAO Layer Thickness Over 60 μm by Anodisation in Sulfuric Acid Electrolyte;ENGLISH;1.0;english;47
CAA2024_S21_OntPreHer3D.pptx;14762665;14.08;Digital reconstruction resources as FAIR data. Practical use of application Ontology for Preservation of Cultural Heritage 3D Models (OntPreHer3D);ENGLISH;1.0;english;48
POSTER.pptx;3665069;3.5;Digital storytelling and digital applications as learning and entertainment strategies in museums of Athens-Critical review and evaluation of public experiences;ENGLISH;1.0;english;49
DeCross_ABCT_2020_Final_1.1.pptx;16525424;15.76;Distinct neural profiles during aversive learning mediate the longitudinal association of childhood trauma and symptoms of internalizing and externalizing psychopathology in youth;ENGLISH;1.0;english;50
virALLanguages_LangDoc2022_Pres.pptx;2806412;2.68;Documentary linguists and risk communication: the virALLanguages project as a model for collaborative crisis and emergency risk communication;ENGLISH;1.0;english;51
Fig 1D.pptx;2824293;2.69;Double-stranded RNA structural elements holding the key to translational regulation in cancer: the case of editing in RNA Binding Motif Protein 8A;ENGLISH;1.0;english;52
Figure 6c Sequences AluY and AluSz6.pptx;2266697;2.16;Double-stranded RNA structural elements holding the key to translational regulation in cancer: the case of editing in RNA Binding Motif Protein 8A;ENGLISH;1.0;english;53
ENHANCE THE DIETARY DIVERSITY SCORE.pptx;7972079;7.6;ENHANCE THE DIETARY DIVERSITY SCORE THROUGH LOCAL NUTRITIONAL SOLUTION TO IMPROVE THE NUTRITIONAL VALUE OF DIET IN THE RURAL HOUSEHOLDS OF UTTAR PRADESH;ENGLISH;1.0;english;54
Monzino WOMEN (1).pptx;523929;0.5;Early Detection Of Cardiovascular Risk Factors And Definition Of Psychosocial Profile In Women Through A Systematic Approach: The Monzino Women Heart Center's Experience;ENGLISH;1.0;english;55
m7s2019_Pereverzev-Sergey.pptx;903754;0.86;Effects of energy accumulation in materials: Self-Organized Criticality dynamics in low energy threshold ionization detectors for coherent neutrino scatter, dark matter searches and in superconducting sensors and qubits;ENGLISH;1.0;english;56
Hohmann_et_al_Pres_EGU2023.pptx;12504181;11.92;Effects of gaps on proxy records and evolutionary history in carbonate platforms: interactive visualizations and teaching tools via R Shiny apps and CarboCAT: Slides for EGU2023;ENGLISH;1.0;english;57
Stall - U06 JpGU 13 July 2020 v1.pptx;7419894;7.08;Enabling FAIR Data in the Earth, Space, and Environmental Sciences: Encouraging all Researchers to Document, Share, and Cite Scientific Data, JpGU U-06 Open Science;ENGLISH;1.0;english;58
5-8 2P McCusker HCLS..pptx;4651548;4.44;Enabling Rapid Application and Management of Knowledge in Learning Health Systems: The Computable Biomedical Knowledge Metadata Model (CBK-MM) Project;ENGLISH;1.0;english;59
ICTP Summer School 2023_ poster Rukia.pptx;3962419;3.78;Energy Access Explorer – A data-driven, integrated, and inclusive approach to planning for the expansion of energy access and clean cooking in Kenya;ENGLISH;1.0;english;60
ICTP Summer School 2023_Rukia -IEA_EAE.pptx;4252284;4.06;Energy Access Explorer – A data-driven, integrated, and inclusive approach to planning for the expansion of energy access and clean cooking in Kenya;ENGLISH;1.0;english;61
NIGERIA_EMP-A2023_poster template FINAL (1).pptx;2063834;1.97;Energy Demand in Urban Household Sector: Increasing Electricity Access to displace Fossil fuel and substitutional fuel (cooking and water heating);ENGLISH;1.0;english;62
SCOSS 3 rd round webinar Latin America.pptx;13227846;12.62;Everything you always wanted to know about the SCOSS 3rd pledging round/ Todo lo que siempre quisiste saber sobre la 3ra ronda de contribuciones de SCOSS;ENGLISH;1.0;english;63
PACBB2022_EvoPPI_2_SHAREABLE.pptx;2458616;2.34;EvoPPI 2: a web and local platform for the comparison of protein-protein interaction data from multiple sources from the same and distinct species;ENGLISH;1.0;english;64
SCS_2022_AMPs_network_science.pptx;16054646;15.31;Exploring the Chemical Space of Antiparasitic Peptides and Discovery of New Promising Leads through a Novel Approach based on Network Science and Similarity Searching - SCS 2022;ENGLISH;1.0;english;65
SI9_MotifsDiscovery.pptx;1034428;0.99;Exploring the Chemical Space of Antiparasitic Peptides and Discovery of New Promising Leads through a Novel Approach based on Network Science and Similarity Searching - Supporting Information;ENGLISH;1.0;english;66
comference poster- 2023 Agadir.pptx;2178535;2.08;Exploring the Feasibility of Regenerating High-Performance Cathode Active Materials from Recycled Lithium-Ion Batteries Using Low-Temperature Molten Salt Process;ENGLISH;1.0;english;67
flowchart.pptx;121547;0.12;"Flowchart of the manuscript ""Total Mesorectal Excision after Rectal Sparing Approach in Locally Advanced Rectal Cancer Patients after neoadjuvant treatment: a high volume center experience""";ENGLISH;1.0;english;68
POURRET ASF 2019 Bedoin.pptx;3168859;3.02;Fluid circulations and iron oxides associated on Cataclastic Deformation Bands in porous sandstones: Insights from rare earth elements geochemistry;ENGLISH;1.0;english;69
Presentation_v2.pptx;6498238;6.2;Foam fractionation coupled to electrochemical degradation for treatment of per- and polyfluoroalkyl substances in contaminated water – a pilot scale study;ENGLISH;1.0;english;70
D1 - WcoCdeOvervirewV1_0.pptx;18336495;17.49;From photons to fish, from seconds to centuries;;;;
PhD_Days_2024_07_09.pptx;6531662;6.23;Graph Theoretical Approach to Analyzing the Communication Networks of Health Development Offices: Influencing Positive Health Behaviors in the Elderly Hungarian Population;ENGLISH;1.0;english;72
20240910_Präsentation_Research_Assessment.pptx;4393956;4.19;Göttingen Postdoc Network Event: Dialogue about how to avoid predators and understanding the changing landscape of research assessment - 10 Sept 2024;ENGLISH;1.0;english;73
Journal_quality_20240910.pptx;6967367;6.64;Göttingen Postdoc Network Event: Dialogue about how to avoid predators and understanding the changing landscape of research assessment - 10 Sept 2024;ENGLISH;1.0;english;74
Vanessa Higgins IASSIST 2024.pptx;14161217;13.51;How Online Training Events are Supporting the Development of Quantitative Data Skills in Social Science Students: a qualitative research project;ENGLISH;1.0;english;75
edit_balli_indi_2023.pptx;1704065;1.63;How an Individualized PhD provided me with the resources to imagine a future where all humans could live decently, and rally people across territories to generate $2 million collective value;ENGLISH;1.0;english;76
Presentation of Wulandari et all.pptx;326161;0.31;How information technology acceptance Affects Students' Purchase Intention to Universities Implementing E-learning in Developing Countries In developing countries;ENGLISH;1.0;english;77
Wuttke Carmen Medieval Network Open Science PARTHENOS WS 2018v2.pptx;5182404;4.94;How to make your medieval Research more visible with Open Scholarship Methods and Tools: Workshop at Carmen Annual Meeting Tampere University (28.08.2018);ENGLISH;1.0;english;78
07192023_igarss.pptx;15027058;14.33;Identification of Sea Surface Temperature and Sea Surface Salinity Fronts Along the California Coast: Application Using Saildrone and Satellite De-rived Products;ENGLISH;1.0;english;79
EDDI23_EOSC_workflow_CDI.pptx;3914264;3.73;"Implementing the DDI-CDI Process Model for Describing Data Integration: Insights from the EOSC Future Science Project ""Climate Neutral and Smart Cities""";ENGLISH;1.0;english;80
Wuttke PARTHENOS ESU 2018 web.pptx;3679339;3.51;Introducing the PARTHENOS eHumanities and eHeritage Training Suite and Webinar Series: Research Data Special (PARTHENOS Teaser Session at ESU 2018);ENGLISH;1.0;english;81
TS-ResearchDataManag-Krakow2019.pptx;17650767;16.83;Introduction to Research Data Management. Training School of the European Network on Individualized Psychotherapy Treatment of Young People with Mental Disorders (TREATme);ENGLISH;1.0;english;82
LIBER lecture 2023.pptx;3682924;3.51;"Keynote Speech by Sarah Nouwen, Professor of International Law at European University Institute ""Inclusive Open Access in academia: coming together against exclusive publishing""";ENGLISH;1.0;english;83
CoARA_emendezLIBER.pptx;14297116;13.63;LIBER and LA Referencia Webinar: Making Research Assessment a Reality: Showcasing Concrete Open Science Advancements in Latin America and Europe;ENGLISH;1.0;english;84
Presentación LA Referencia.LIBER. Folec Rovellipptx.pptx;6072630;5.79;LIBER and LA Referencia Webinar: Making Research Assessment a Reality: Showcasing Concrete Open Science Advancements in Latin America and Europe;ENGLISH;1.0;english;85
RDA_ReseachAssessment_20240513.pptx;10726483;10.23;LIBER and LA Referencia Webinar: Making Research Assessment a Reality: Showcasing Concrete Open Science Advancements in Latin America and Europe;ENGLISH;1.0;english;86
CAA2022Oxford_LinkedOpenTime.pptx;16550711;15.78;Linked Open Time: Reproducible LOD-driven workflows and research tools for validating Roman Limes and Hadrian's Wall relative time intervals based on Samian (Terra Sigillata);ENGLISH;1.0;english;87
ICUAS Workshop.pptx;8836093;8.43;MSCA ITN AERO-TRAIN Documentation of online course material. This project has received funding from the European Union's Horizon 2020 research and innovation programme under the MarieSkłodowska-Curie grant agreement 953454.;ENGLISH;1.0;english;88
s1.01_Aasman_Hagedoorn_Sauer_Baas_Bakker.pptx;3302150;3.15;Moving beyond tool-oriented teaching within Digital Humanities: The challenge of appropriating the CLARIAH Media Suite into tool-supported pedagogical practices;ENGLISH;1.0;english;89
Westernblot raw data.pptx;187137;0.18;Nigella sativa L. seed extracts promotes wound healing progress by activating VEGF and PDGF signalling pathways: An in vitro and in silico study;ENGLISH;1.0;english;90
Figure S1.pptx;478002;0.46;Novel Intranasal Drug Delivery: Geraniol Charged Polymeric Mixed Micelles for Targeting Cerebral Insult as a Result of Ischaemia/Reperfusion;ENGLISH;1.0;english;91
Figure S2.pptx;781158;0.74;Novel Intranasal Drug Delivery: Geraniol Charged Polymeric Mixed Micelles for Targeting Cerebral Insult as a Result of Ischaemia/Reperfusion;ENGLISH;1.0;english;92
Figure S3.pptx;723621;0.69;Novel Intranasal Drug Delivery: Geraniol Charged Polymeric Mixed Micelles for Targeting Cerebral Insult as a Result of Ischaemia/Reperfusion;ENGLISH;1.0;english;93
Figure S4.pptx;794730;0.76;Novel Intranasal Drug Delivery: Geraniol Charged Polymeric Mixed Micelles for Targeting Cerebral Insult as a Result of Ischaemia/Reperfusion;ENGLISH;1.0;english;94
Figure S5.pptx;814312;0.78;Novel Intranasal Drug Delivery: Geraniol Charged Polymeric Mixed Micelles for Targeting Cerebral Insult as a Result of Ischaemia/Reperfusion;ENGLISH;1.0;english;95
Figure S6.pptx;762623;0.73;Novel Intranasal Drug Delivery: Geraniol Charged Polymeric Mixed Micelles for Targeting Cerebral Insult as a Result of Ischaemia/Reperfusion;ENGLISH;1.0;english;96
Figure S7.pptx;1542248;1.47;Novel Intranasal Drug Delivery: Geraniol Charged Polymeric Mixed Micelles for Targeting Cerebral Insult as a Result of Ischaemia/Reperfusion;ENGLISH;1.0;english;97
Figure S8.pptx;776947;0.74;Novel Intranasal Drug Delivery: Geraniol Charged Polymeric Mixed Micelles for Targeting Cerebral Insult as a Result of Ischaemia/Reperfusion;ENGLISH;1.0;english;98
AIT_2023_OVERWATCH.pptx;4568437;4.36;OVERWATCH - Integrated #holographic crisis management map: potential impact in the #Copernicus Emergency Management Rapid Mapping maps production workflow.;ENGLISH;1.0;english;99
KJuraschek_ECCMID_2019_NP_JAH_MG_AK.pptx;2172787;2.07;Occurrence and commonalities of plasmid-mediated quinolone resistance in Escherichia coli isolates recovered from livestock and food in Germany;ENGLISH;1.0;english;100
